accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model,fit_seconds,status
0.972,0.0,0.0,0.0,0.786605591533723,0.11749923843743262,486,1,13,0,random_forest,0.5102188000018941,ok
0.964,0.14285714285714285,0.07692307692307693,0.1,0.6512399305007108,0.09840270984147584,481,6,12,1,hist_gradient_boosting,96.82366709999042,ok
0.956,0.15384615384615385,0.15384615384615385,0.15384615384615385,0.6790396461854368,0.07462216722080532,476,11,11,2,lightgbm,5.233153599998332,ok
0.676,0.037267080745341616,0.46153846153846156,0.06896551724137931,0.6490285894803349,0.04177454740413808,332,155,7,6,logistic_regression,0.27274020000186283,ok
