accuracy,precision,recall,f1,roc_auc,pr_auc,true_negative,false_positive,false_negative,true_positive,model,fit_seconds,status
0.9095,0.11464968152866242,0.3,0.16589861751152074,0.710807560137457,0.11129491655408619,1801.0,139.0,42.0,18.0,hist_gradient_boosting,138.90546979999635,ok
0.97,0.5,0.016666666666666666,0.03225806451612903,0.7271477663230241,0.09449361565646512,1939.0,1.0,59.0,1.0,random_forest,2.228446100009023,ok
0.2565,0.036387264457439894,0.9333333333333333,0.07004377736085053,0.6705154639175258,0.05348780426019226,457.0,1483.0,4.0,56.0,logistic_regression,4.019759600007092,ok
,,,,,,,,,,lightgbm,,skipped_not_installed
